"","X.date","X.location","X.money","X.organization","X.percent","X.person","X.time","DOC.CLASS"
"1",4,14,0,25,0,27,0,"tabloid"
"2",6,2,2,5,0,22,0,"tabloid"
"3",6,8,0,18,0,32,2,"tabloid"
"4",3,6,0,11,0,27,0,"tabloid"
"5",1,0,0,17,0,15,0,"tabloid"
"6",5,2,4,21,0,10,0,"tabloid"
"7",4,1,0,15,0,41,0,"tabloid"
"8",3,14,0,0,0,26,0,"tabloid"
"9",10,1,0,23,0,29,2,"tabloid"
"10",6,4,0,21,0,12,0,"tabloid"
"11",10,8,0,11,0,63,0,"tabloid"
"12",4,1,0,32,0,12,0,"tabloid"
"13",0,0,0,12,0,20,0,"tabloid"
"14",2,16,0,16,0,12,0,"tabloid"
"15",1,2,6,24,0,23,1,"tabloid"
"16",8,1,2,5,0,10,0,"tabloid"
"17",5,2,3,5,0,17,0,"tabloid"
"18",14,0,8,10,0,6,0,"tabloid"
"19",5,4,0,11,2,17,2,"tabloid"
"20",4,1,0,19,0,28,0,"tabloid"
"21",21,5,2,15,0,19,0,"tabloid"
"22",3,6,0,6,0,24,1,"tabloid"
"23",6,3,3,14,0,11,0,"tabloid"
"24",2,6,0,2,0,23,0,"tabloid"
"25",1,6,0,25,0,43,3,"tabloid"
"26",5,5,0,3,0,39,0,"tabloid"
"27",5,6,0,24,0,17,0,"tabloid"
"28",6,2,0,7,0,16,1,"tabloid"
"29",2,4,0,12,0,28,2,"tabloid"
"30",1,1,0,13,0,20,0,"tabloid"
"31",12,13,0,0,0,28,0,"tabloid"
"32",0,2,0,10,0,21,0,"tabloid"
"33",7,2,0,12,0,13,0,"tabloid"
"34",4,2,0,20,0,5,1,"tabloid"
"35",2,8,19,6,0,31,0,"tabloid"
"36",2,3,0,18,0,15,0,"tabloid"
"37",4,0,0,21,0,29,2,"tabloid"
"38",6,3,0,13,0,9,0,"tabloid"
"39",1,2,3,42,6,23,0,"tabloid"
"40",7,12,0,11,0,25,0,"tabloid"
"41",8,3,0,6,0,27,0,"tabloid"
"42",6,0,2,12,0,31,0,"tabloid"
"43",2,7,0,4,0,19,0,"tabloid"
"44",0,3,0,15,0,13,0,"tabloid"
"45",8,5,12,14,0,53,0,"tabloid"
"46",2,3,0,5,0,16,0,"tabloid"
"47",0,4,0,12,0,23,0,"tabloid"
"48",2,7,0,9,0,20,0,"tabloid"
"49",3,2,3,9,0,36,1,"tabloid"
"50",0,0,0,3,0,9,4,"tabloid"
"51",4,1,0,10,0,28,0,"tabloid"
"52",2,14,0,9,0,22,0,"tabloid"
"53",1,1,0,14,0,13,0,"tabloid"
"54",6,3,0,12,0,27,0,"tabloid"
"55",1,0,0,0,0,17,1,"tabloid"
"56",4,5,0,24,0,8,0,"tabloid"
"57",4,0,2,11,0,17,1,"tabloid"
"58",16,6,0,3,0,28,1,"tabloid"
"59",12,11,38,16,0,7,0,"tabloid"
"60",0,0,0,10,0,15,0,"tabloid"
"61",15,3,0,6,0,21,1,"tabloid"
"62",9,10,10,33,0,6,0,"tabloid"
"63",8,5,0,8,0,23,0,"tabloid"
"64",2,0,0,3,0,31,2,"tabloid"
"65",10,1,2,4,0,20,0,"tabloid"
"66",0,7,0,25,0,8,0,"tabloid"
"67",12,6,8,16,0,4,1,"tabloid"
"68",4,2,6,13,0,21,0,"tabloid"
"69",5,9,15,32,0,57,0,"tabloid"
"70",7,5,3,0,0,15,0,"tabloid"
"71",4,1,0,15,0,10,0,"tabloid"
"72",6,8,0,13,0,26,0,"tabloid"
"73",10,0,0,7,0,26,0,"tabloid"
"74",2,7,0,14,0,11,0,"tabloid"
"75",4,8,0,11,0,21,0,"tabloid"
"76",18,15,0,22,0,32,2,"tabloid"
"77",10,2,0,5,0,17,2,"tabloid"
"78",7,11,0,8,0,37,1,"tabloid"
"79",14,8,0,7,0,27,0,"tabloid"
"80",1,4,0,17,0,22,0,"tabloid"
"81",1,8,0,13,0,17,1,"tabloid"
"82",9,3,0,16,0,24,0,"tabloid"
"83",0,5,5,7,0,5,0,"tabloid"
"84",5,2,0,7,0,44,0,"tabloid"
"85",3,5,0,9,0,17,0,"tabloid"
"86",0,2,0,2,0,22,0,"tabloid"
"87",1,1,3,22,0,9,0,"tabloid"
"88",6,10,0,14,0,21,0,"tabloid"
"89",5,7,0,11,0,2,1,"tabloid"
"90",3,4,0,17,0,23,0,"tabloid"
"91",3,2,0,6,0,18,3,"tabloid"
"92",4,3,0,12,2,40,0,"tabloid"
"93",5,2,0,10,0,33,0,"tabloid"
"94",2,4,0,35,0,12,0,"tabloid"
"95",2,1,0,0,0,21,0,"tabloid"
"96",5,10,3,35,0,12,3,"tabloid"
"97",1,1,12,10,0,24,0,"tabloid"
"98",0,6,4,49,0,14,0,"tabloid"
"99",6,8,0,10,0,18,1,"tabloid"
"100",4,4,0,21,0,25,2,"tabloid"
"101",11,2,0,17,0,16,0,"tabloid"
"102",1,0,0,4,0,19,1,"tabloid"
"103",4,2,0,2,4,31,1,"tabloid"
"104",9,5,12,18,0,12,0,"tabloid"
"105",2,1,0,5,0,26,0,"tabloid"
"106",25,11,16,3,0,39,2,"tabloid"
"107",3,2,0,4,0,8,0,"tabloid"
"108",6,0,0,0,0,42,0,"tabloid"
"109",5,4,0,2,0,39,0,"tabloid"
"110",5,5,0,0,0,21,0,"tabloid"
"111",1,5,0,14,0,20,0,"tabloid"
"112",2,1,0,12,0,13,0,"tabloid"
"113",0,7,3,7,0,7,0,"tabloid"
"114",0,0,0,14,0,24,0,"tabloid"
"115",2,13,2,10,0,21,0,"tabloid"
"116",2,2,3,7,0,14,0,"tabloid"
"117",5,0,0,3,0,20,0,"tabloid"
"118",0,0,0,7,0,23,0,"tabloid"
"119",1,10,0,13,0,23,0,"tabloid"
"120",1,4,3,6,0,33,0,"tabloid"
"121",10,3,6,12,0,14,0,"tabloid"
"122",1,0,0,6,2,18,0,"tabloid"
"123",5,3,0,21,0,20,0,"tabloid"
