"","X29","X29.1","X29.2","X25","X29.3","X25.1","X26","X21","X29.4","X21.1","X21.2","X21.3","X29.5","X29.6","X29.7","X21.4","X21.5","X25.2","X21.6","X24","X29.8","DOC.CLASS"
"1",29,29,29,25,29,25,26,21,29,21,21,21,29,29,29,21,21,25,21,24,29,"tabloid"
"2",17,16,17,13,16,12,9,10,17,15,15,9,16,16,16,15,9,13,9,12,9,"tabloid"
"3",21,21,21,18,21,17,17,18,20,19,18,15,20,20,21,18,15,18,18,16,17,"tabloid"
"4",22,22,22,18,22,17,17,16,22,19,19,16,20,20,22,19,16,18,15,17,17,"tabloid"
"5",37,33,37,30,33,26,27,28,37,33,33,33,33,33,33,33,33,30,28,25,33,"tabloid"
"6",15,15,15,14,15,13,13,15,15,12,12,11,14,14,15,12,11,14,15,13,13,"tabloid"
"7",17,17,17,14,17,15,16,16,16,15,14,13,15,15,17,14,13,14,16,14,14,"tabloid"
"8",15,15,15,14,15,13,13,13,15,11,11,9,15,15,15,11,9,14,13,12,12,"tabloid"
"9",19,19,19,18,19,17,17,18,19,17,17,17,18,18,19,17,17,18,18,17,18,"tabloid"
"10",23,22,23,22,23,18,18,17,22,21,20,18,22,22,22,20,18,22,17,17,18,"tabloid"
"11",13,12,13,12,13,12,12,11,13,9,9,6,11,11,12,9,6,12,11,11,10,"tabloid"
"12",17,16,17,15,16,16,16,14,17,14,14,14,14,14,16,14,14,15,14,15,15,"tabloid"
"13",19,18,19,19,18,18,17,17,19,15,15,12,18,18,18,15,12,19,17,18,14,"tabloid"
"14",21,20,21,15,20,15,14,15,21,18,18,18,20,20,20,18,18,15,15,14,19,"tabloid"
"15",22,22,22,19,22,19,19,18,22,20,20,20,22,22,22,20,20,19,18,19,20,"tabloid"
"16",25,25,25,25,25,23,24,21,25,24,24,24,24,24,25,24,24,25,21,23,24,"tabloid"
"17",17,13,17,12,14,12,11,11,17,13,13,8,12,12,13,13,8,12,11,12,8,"tabloid"
"18",20,20,20,17,20,17,18,18,19,17,16,15,20,20,20,16,15,17,18,17,16,"tabloid"
"19",30,29,30,28,30,28,28,24,30,27,26,25,29,29,29,26,25,28,24,28,28,"tabloid"
"20",21,20,21,18,20,17,17,16,21,18,18,18,19,19,20,18,18,18,16,17,19,"tabloid"
"21",21,21,21,20,21,18,18,18,21,20,20,19,20,20,21,20,19,20,18,18,19,"tabloid"
"22",18,18,18,17,18,14,16,12,18,16,16,15,18,18,18,16,15,17,12,14,17,"tabloid"
"23",26,24,26,23,24,22,22,21,26,22,22,18,24,24,24,22,18,23,21,21,20,"tabloid"
"24",20,20,20,16,20,13,15,15,19,18,17,15,18,18,20,17,15,16,15,13,16,"tabloid"
